step,q_j1,q_j7,flow_ew,flow_ns,ambulance_active,co2_j1,co2_j7,cars_j1,cars_j7,tot_car,tot_amb,tot_bus,tot_ped,tot_truck,tot_triggers
0,1,1,0,0,0,1521.0,1521.0,1,1,2,0,0,0,0,0
10,2,0,0,1,1,11828.37179766969,3457.0,4,2,5,1,1,0,1,0
20,5,3,0,0,1,80148.93201747128,17612.466035554895,7,5,11,1,1,0,3,1
30,8,5,0,0,0,210755.52516136286,89261.890341413,9,7,12,1,3,1,4,1
40,9,6,0,0,0,361556.96156639373,194319.72051454528,9,10,16,1,3,1,5,1
50,1,11,0,0,0,448494.7821879245,347696.0685372178,11,12,20,1,3,1,6,1
60,1,5,1,0,0,460456.8923377606,520633.9599796329,14,13,21,1,5,1,7,1
70,0,1,1,2,0,472081.8923377606,533520.4298008287,18,17,25,1,9,1,8,1
80,0,1,1,1,0,477057.5777963604,535041.4298008287,20,18,29,1,10,2,8,1
90,2,1,4,1,1,488631.9110236191,538498.4298008287,22,20,33,2,10,2,9,3
100,4,3,2,0,1,534912.288942585,557202.6723569386,23,24,41,2,10,2,9,3
110,5,6,0,0,0,601172.9190500728,627361.8202873312,23,24,42,2,10,2,9,3
120,5,7,0,0,0,677222.5293285759,724291.4154505563,23,25,44,2,10,3,9,3
130,0,7,0,0,0,739583.5293285759,827089.7979923167,23,26,46,2,10,4,9,3
140,0,0,1,1,0,747336.5293285759,891408.9833781047,27,27,49,2,11,5,10,3
150,0,0,0,2,0,754629.0307183631,899188.2411122586,30,28,53,2,13,5,10,3
160,1,0,0,1,0,756150.0307183631,906941.2411122586,31,32,57,2,15,5,11,3
170,0,0,0,2,0,759192.0307183631,917865.0464045141,33,38,64,2,16,6,11,3
180,1,0,3,0,0,772870.0208608531,919801.0464045141,35,39,67,2,16,7,14,3
190,3,1,2,0,0,817679.3108815459,931413.8904439656,38,40,72,2,16,8,15,3
200,7,2,1,0,0,894145.3797852037,954642.4637637754,40,40,74,2,16,8,15,3
210,8,2,0,0,0,1018299.6610520849,997658.4637065267,40,42,75,2,17,8,17,3
220,2,5,1,0,0,1133806.314466563,1082841.1832693163,43,45,83,2,17,8,17,3
230,0,0,1,1,0,1140436.8686357983,1141340.0030548282,43,46,85,2,17,9,17,3
240,0,0,0,0,0,1141957.8686357983,1141340.0030548282,44,46,86,2,17,9,17,3
250,0,0,0,0,0,1146253.8686357983,1145636.0030548282,46,48,89,2,19,9,17,3
260,0,0,0,1,0,1147774.8686357983,1151453.0030548282,47,51,92,2,20,9,17,3
270,1,1,1,1,0,1152292.7676204853,1155749.0030548282,49,53,97,2,22,9,17,3
280,2,3,1,0,0,1178086.2478295236,1171086.3079817484,49,56,101,2,23,9,17,3
290,2,5,0,0,0,1211548.2478295236,1250950.1272672918,51,57,105,2,23,11,17,3
300,5,9,0,0,0,1273347.9054517788,1362187.4901685528,55,62,113,2,24,12,17,3
310,1,11,0,0,0,1362817.1596567312,1540921.634943918,57,62,116,2,24,12,17,3
320,2,0,2,3,0,1375963.494972892,1662439.477591212,59,64,119,2,26,13,19,3
